#                                                                         --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                  accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#          ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
sp|Q70LM3|PEM2_PHLRA           -          13_oneless_0         -           1.6e-228  753.6  17.5  1.8e-228  753.4  17.5   1.0   1   0   0   1   1   1   1 Manganese peroxidase 2 OS=Phlebia radiata OX=5308 GN=mnp2 PE=1 SV=1
tr|B2BF37|B2BF37_9APHY         -          13_oneless_0         -           1.1e-222  734.4  18.4  1.2e-222  734.3  18.4   1.0   1   0   0   1   1   1   1 Peroxidase OS=Phlebia sp. b19 OX=451823 GN=mnp2 PE=3 SV=1
tr|A0A068PCH3|A0A068PCH3_9APHY -          13_oneless_0         -           4.9e-222  732.3  11.1  5.5e-222  732.1  11.1   1.0   1   0   0   1   1   1   1 Peroxidase OS=Phlebia sp. MG60 OX=321831 GN=MGmnp3 PE=3 SV=1
tr|B1B556|B1B556_9APHY         -          13_oneless_0         -           1.2e-220  727.7  11.6  1.3e-220  727.6  11.6   1.0   1   0   0   1   1   1   1 Peroxidase OS=Phlebia sp. MG60 OX=321831 GN=mnp3 PE=2 SV=1
tr|Q9P901|Q9P901_9APHY         -          13_oneless_0         -           6.9e-214  705.4   9.7  7.7e-214  705.3   9.7   1.0   1   0   0   1   1   1   1 Peroxidase OS=Dichomitus squalens OX=114155 GN=mnp2 PE=3 SV=1
tr|A0A4Q9MDN6|A0A4Q9MDN6_9APHY -          13_oneless_0         -           1.1e-213  704.7  13.6  1.3e-213  704.6  13.6   1.0   1   0   0   1   1   1   1 Peroxidase OS=Dichomitus squalens OX=114155 GN=BD309DRAFT_863726 PE=3 SV=1
tr|R7T1I7|R7T1I7_DICSQ         -          13_oneless_0         -           1.1e-213  704.7  13.6  1.3e-213  704.6  13.6   1.0   1   0   0   1   1   1   1 Peroxidase OS=Dichomitus squalens (strain LYAD-421) OX=732165 GN=MnP4 PE=3 SV=1
tr|Q9P902|Q9P902_9APHY         -          13_oneless_0         -           1.6e-213  704.2  14.9  1.9e-213  704.0  14.9   1.0   1   0   0   1   1   1   1 Peroxidase OS=Dichomitus squalens OX=114155 GN=mnp1 PE=3 SV=1
tr|R7SP50|R7SP50_DICSQ         -          13_oneless_0         -           1.6e-213  704.2  14.9  1.9e-213  704.0  14.9   1.0   1   0   0   1   1   1   1 Peroxidase OS=Dichomitus squalens (strain LYAD-421) OX=732165 GN=MnP1 PE=3 SV=1
tr|R7T2P2|R7T2P2_DICSQ         -          13_oneless_0         -           1.9e-213  704.0   9.3  2.1e-213  703.8   9.3   1.0   1   0   0   1   1   1   1 Peroxidase OS=Dichomitus squalens (strain LYAD-421) OX=732165 GN=MnP2 PE=3 SV=1
