#                                                                         --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                  accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#          ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
tr|A0A1Q3EKP4|A0A1Q3EKP4_LENED -          99_oneless_1         -            4.1e-76  249.0   5.4   4.3e-75  245.7   4.1   2.3   2   0   0   2   2   2   1 Peroxidase OS=Lentinula edodes OX=5353 GN=LENED_009777 PE=3 SV=1
tr|B5U994|B5U994_LENED         -          99_oneless_1         -            1.2e-75  247.5   4.5   2.1e-75  246.7   4.5   1.4   1   0   0   1   1   1   1 Peroxidase (Fragment) OS=Lentinula edodes OX=5353 GN=mnp2c PE=2 SV=1
tr|B5U993|B5U993_LENED         -          99_oneless_1         -            1.2e-75  247.5   4.1   2.1e-75  246.7   4.1   1.4   1   0   0   1   1   1   1 Peroxidase (Fragment) OS=Lentinula edodes OX=5353 GN=mnp2b PE=2 SV=1
tr|A0A1Q3EKN0|A0A1Q3EKN0_LENED -          99_oneless_1         -            2.2e-75  246.6   4.5   2.2e-75  246.6   4.5   1.7   2   0   0   2   2   1   1 Peroxidase OS=Lentinula edodes OX=5353 GN=LENED_009775 PE=3 SV=1
tr|B5U992|B5U992_LENED         -          99_oneless_1         -            1.1e-74  244.4   4.1   1.7e-74  243.8   4.1   1.3   1   0   0   1   1   1   1 Peroxidase (Fragment) OS=Lentinula edodes OX=5353 GN=mnp2a PE=2 SV=1
tr|A0A1Q3EHU2|A0A1Q3EHU2_LENED -          99_oneless_1         -            1.5e-74  243.9   4.1   2.7e-74  243.1   4.1   1.4   1   0   0   1   1   1   1 Peroxidase OS=Lentinula edodes OX=5353 GN=LENED_008658 PE=3 SV=1
tr|A0A6A4I869|A0A6A4I869_9AGAR -          99_oneless_1         -            9.6e-68  221.9   3.4   4.4e-67  219.8   4.2   1.7   2   0   0   2   2   1   1 Peroxidase OS=Gymnopus androsaceus JB14 OX=1447944 GN=BT96DRAFT_875409 PE=3 SV=1
tr|A7U4Q7|A7U4Q7_9APHY         -          99_oneless_1         -            3.3e-60  197.5   3.1   4.1e-60  197.2   3.1   1.1   1   0   0   1   1   1   1 Peroxidase (Fragment) OS=Crustodontia chrysocreas OX=2716695 GN=mnp PE=3 SV=1
tr|A7U4Q8|A7U4Q8_9APHY         -          99_oneless_1         -            1.5e-59  195.3   3.4   1.9e-59  195.1   3.4   1.1   1   0   0   1   1   1   1 Peroxidase (Fragment) OS=Crustodontia chrysocreas OX=2716695 GN=mnp PE=3 SV=1
tr|A7U4Q9|A7U4Q9_9APHY         -          99_oneless_1         -            2.2e-59  194.8   2.5   2.7e-59  194.6   2.5   1.1   1   0   0   1   1   1   1 Peroxidase (Fragment) OS=Crustodontia chrysocreas OX=2716695 GN=mnp PE=3 SV=1
sp|Q70LM3|PEM2_PHLRA           -          99_oneless_1         -            2.3e-59  194.8   4.1   5.4e-59  193.6   4.1   1.7   1   0   0   1   1   1   1 Manganese peroxidase 2 OS=Phlebia radiata OX=5308 GN=mnp2 PE=1 SV=1
tr|A7U4Q5|A7U4Q5_9APHY         -          99_oneless_1         -            4.8e-59  193.7   3.8   5.8e-59  193.5   3.8   1.1   1   0   0   1   1   1   1 Peroxidase (Fragment) OS=Crustodontia chrysocreas OX=2716695 GN=mnp PE=3 SV=1
tr|A7U4P2|A7U4P2_9APHY         -          99_oneless_1         -            5.5e-59  193.5   3.0   6.7e-59  193.3   3.0   1.1   1   0   0   1   1   1   1 Peroxidase (Fragment) OS=Cryptoporus volvatus OX=40431 GN=mnp PE=3 SV=1
tr|R7T0F0|R7T0F0_DICSQ         -          99_oneless_1         -            6.2e-59  193.4   3.9   1.3e-58  192.4   3.9   1.5   1   0   0   1   1   1   1 Peroxidase OS=Dichomitus squalens (strain LYAD-421) OX=732165 GN=MnP3 PE=3 SV=1
tr|A0A4Q9NSE0|A0A4Q9NSE0_9APHY -          99_oneless_1         -            6.4e-59  193.3   3.9   1.3e-58  192.4   3.9   1.5   1   0   0   1   1   1   1 Peroxidase OS=Dichomitus squalens OX=114155 GN=BD309DRAFT_86966 PE=3 SV=1
tr|A0A4Q9MDN6|A0A4Q9MDN6_9APHY -          99_oneless_1         -            1.3e-58  192.3   4.0   2.7e-58  191.3   4.0   1.5   1   0   0   1   1   1   1 Peroxidase OS=Dichomitus squalens OX=114155 GN=BD309DRAFT_863726 PE=3 SV=1
tr|R7T1I7|R7T1I7_DICSQ         -          99_oneless_1         -            1.3e-58  192.3   4.0   2.7e-58  191.3   4.0   1.5   1   0   0   1   1   1   1 Peroxidase OS=Dichomitus squalens (strain LYAD-421) OX=732165 GN=MnP4 PE=3 SV=1
tr|Q9P902|Q9P902_9APHY         -          99_oneless_1         -              2e-58  191.7   3.9   3.7e-58  190.9   3.9   1.4   1   0   0   1   1   1   1 Peroxidase OS=Dichomitus squalens OX=114155 GN=mnp1 PE=3 SV=1
tr|R7SP50|R7SP50_DICSQ         -          99_oneless_1         -              2e-58  191.7   3.9   3.7e-58  190.9   3.9   1.4   1   0   0   1   1   1   1 Peroxidase OS=Dichomitus squalens (strain LYAD-421) OX=732165 GN=MnP1 PE=3 SV=1
